data_name,data_size,clean_name,idf_name,feature_number,regression_name,trainning_time,val_score,model_path
multi_train,223549,clean0,tfidf1,2000,ridge,40,0.652,./model/68.pkl
multi_train,223549,clean0,tfidf1,2000,svm,107,0.6453,./model/69.pkl
multi_train,223549,clean0,tfidf1,2000,mlp,49,0.6416,./model/70.pkl
multi_train,223549,clean0,tfidf1,2000,lgb,43,0.6228,./model/71.pkl
multi_train,223549,clean0,tfidf2,21678,ridge,14,0.6631,./model/72.pkl
multi_train,223549,clean0,tfidf2,21678,svm,34,0.654,./model/73.pkl
multi_train,223549,clean0,tfidf2,21678,mlp,59,0.6484,./model/74.pkl
multi_train,223549,clean0,tfidf2,21678,lgb,15,0.6168,./model/75.pkl
multi_train,223549,clean0,tfidf3,33698,ridge,23,0.6629,./model/76.pkl
multi_train,223549,clean0,tfidf3,33698,svm,45,0.6551,./model/77.pkl
multi_train,223549,clean0,tfidf3,33698,mlp,90,0.6477,./model/78.pkl
multi_train,223549,clean0,tfidf3,33698,lgb,27,0.6147,./model/79.pkl
multi_train,223549,clean1,tfidf0,38170,ridge,37,0.6708,./model/80.pkl
multi_train,223549,clean1,tfidf0,38170,svm,131,0.6568,./model/81.pkl
multi_train,223549,clean1,tfidf0,38170,mlp,121,0.655,./model/82.pkl
multi_train,223549,clean1,tfidf0,38170,lgb,40,0.6365,./model/83.pkl
multi_train,223549,clean1,tfidf1,2000,ridge,36,0.6542,./model/84.pkl
multi_train,223549,clean1,tfidf1,2000,svm,98,0.6493,./model/85.pkl
multi_train,223549,clean1,tfidf1,2000,mlp,42,0.6445,./model/86.pkl
multi_train,223549,clean1,tfidf1,2000,lgb,35,0.6215,./model/87.pkl
multi_train,223549,clean1,tfidf2,21773,ridge,9,0.6629,./model/88.pkl
multi_train,223549,clean1,tfidf2,21773,svm,28,0.6533,./model/89.pkl
multi_train,223549,clean1,tfidf2,21773,mlp,50,0.6459,./model/90.pkl
multi_train,223549,clean1,tfidf2,21773,lgb,10,0.6157,./model/91.pkl
multi_train,223549,clean1,tfidf3,33764,ridge,19,0.6637,./model/92.pkl
multi_train,223549,clean1,tfidf3,33764,svm,40,0.6553,./model/93.pkl
multi_train,223549,clean1,tfidf3,33764,mlp,81,0.6424,./model/94.pkl
multi_train,223549,clean1,tfidf3,33764,lgb,20,0.6144,./model/95.pkl
ruddit_train,5838,clean0,tfidf0,34194,ridge,43,0.6324,./model/96.pkl
ruddit_train,5838,clean0,tfidf0,34194,svm,234,0.6292,./model/97.pkl
ruddit_train,5838,clean0,tfidf0,34194,mlp,131,0.628,./model/98.pkl
ruddit_train,5838,clean0,tfidf0,34194,lgb,48,0.5868,./model/99.pkl
ruddit_train,5838,clean0,tfidf1,2000,ridge,42,0.6107,./model/100.pkl
ruddit_train,5838,clean0,tfidf1,2000,svm,172,0.6128,./model/101.pkl
ruddit_train,5838,clean0,tfidf1,2000,mlp,53,0.6134,./model/102.pkl
ruddit_train,5838,clean0,tfidf1,2000,lgb,43,0.5808,./model/103.pkl
ruddit_train,5838,clean0,tfidf2,13492,ridge,15,0.6189,./model/104.pkl
ruddit_train,5838,clean0,tfidf2,13492,svm,46,0.6156,./model/105.pkl
ruddit_train,5838,clean0,tfidf2,13492,mlp,48,0.6102,./model/106.pkl
ruddit_train,5838,clean0,tfidf2,13492,lgb,15,0.5828,./model/107.pkl
ruddit_train,5838,clean0,tfidf3,16938,ridge,24,0.6183,./model/108.pkl
ruddit_train,5838,clean0,tfidf3,16938,svm,56,0.6153,./model/109.pkl
ruddit_train,5838,clean0,tfidf3,16938,mlp,64,0.6006,./model/110.pkl
ruddit_train,5838,clean0,tfidf3,16938,lgb,23,0.5816,./model/111.pkl
ruddit_train,5838,clean1,tfidf0,28008,ridge,34,0.6303,./model/112.pkl
ruddit_train,5838,clean1,tfidf0,28008,svm,217,0.6299,./model/113.pkl
ruddit_train,5838,clean1,tfidf0,28008,mlp,123,0.617,./model/114.pkl
ruddit_train,5838,clean1,tfidf0,28008,lgb,37,0.5872,./model/115.pkl
ruddit_train,5838,clean1,tfidf1,2000,ridge,32,0.6109,./model/116.pkl
ruddit_train,5838,clean1,tfidf1,2000,svm,159,0.617,./model/117.pkl
ruddit_train,5838,clean1,tfidf1,2000,mlp,43,0.6124,./model/118.pkl
ruddit_train,5838,clean1,tfidf1,2000,lgb,33,0.5809,./model/119.pkl
ruddit_train,5838,clean1,tfidf2,13490,ridge,8,0.6194,./model/120.pkl
ruddit_train,5838,clean1,tfidf2,13490,svm,39,0.6158,./model/121.pkl
ruddit_train,5838,clean1,tfidf2,13490,mlp,39,0.608,./model/122.pkl
ruddit_train,5838,clean1,tfidf2,13490,lgb,9,0.5829,./model/123.pkl
ruddit_train,5838,clean1,tfidf3,16937,ridge,17,0.6185,./model/124.pkl
ruddit_train,5838,clean1,tfidf3,16937,svm,49,0.6148,./model/125.pkl
ruddit_train,5838,clean1,tfidf3,16937,mlp,55,0.597,./model/126.pkl
ruddit_train,5838,clean1,tfidf3,16937,lgb,17,0.5825,./model/127.pkl
